objective_id,initial_status,final_status,official_source,official_pages,audit_finding,repair
AS-1.1-01,partial,verified,9618-SYL-2027-2029-V2,14,"Teaching was relevant, but practice did not isolate every compound sub-requirement.",Added a targeted syllabus drill with answers and updated the coverage evidence link.
AS-1.1-02,partial,verified,9618-SYL-2027-2029-V2,14,"Teaching was relevant, but practice did not isolate every compound sub-requirement.",Added a targeted syllabus drill with answers and updated the coverage evidence link.
AS-1.1-03,verified,verified,9618-SYL-2027-2029-V2,14,Teaching and practice evidence already supported the complete current objective.,none
AS-1.1-04,verified,verified,9618-SYL-2027-2029-V2,14,Teaching and practice evidence already supported the complete current objective.,none
AS-1.1-05,verified,verified,9618-SYL-2027-2029-V2,14,Teaching and practice evidence already supported the complete current objective.,none
AS-1.1-06,partial,verified,9618-SYL-2027-2029-V2,14,"Teaching was relevant, but practice did not isolate every compound sub-requirement.",Added a targeted syllabus drill with answers and updated the coverage evidence link.
AS-1.1-07,partial,verified,9618-SYL-2027-2029-V2,14,"Teaching was relevant, but practice did not isolate every compound sub-requirement.",Added a targeted syllabus drill with answers and updated the coverage evidence link.
AS-1.2-01,partial,verified,9618-SYL-2027-2029-V2,15,"Teaching was relevant, but practice did not isolate every compound sub-requirement.",Added a targeted syllabus drill with answers and updated the coverage evidence link.
AS-1.2-02,verified,verified,9618-SYL-2027-2029-V2,15,Teaching and practice evidence already supported the complete current objective.,none
AS-1.2-03,partial,verified,9618-SYL-2027-2029-V2,15,"Teaching was relevant, but practice did not isolate every compound sub-requirement.",Added a targeted syllabus drill with answers and updated the coverage evidence link.
AS-1.2-04,partial,verified,9618-SYL-2027-2029-V2,15,"Teaching was relevant, but practice did not isolate every compound sub-requirement.",Added a targeted syllabus drill with answers and updated the coverage evidence link.
AS-1.2-05,partial,verified,9618-SYL-2027-2029-V2,15,"Teaching was relevant, but practice did not isolate every compound sub-requirement.",Added a targeted syllabus drill with answers and updated the coverage evidence link.
AS-1.2-06,partial,verified,9618-SYL-2027-2029-V2,15,"Teaching was relevant, but practice did not isolate every compound sub-requirement.",Added a targeted syllabus drill with answers and updated the coverage evidence link.
AS-1.2-07,partial,verified,9618-SYL-2027-2029-V2,15,"Teaching was relevant, but practice did not isolate every compound sub-requirement.",Added a targeted syllabus drill with answers and updated the coverage evidence link.
AS-1.3-01,verified,verified,9618-SYL-2027-2029-V2,15,Teaching and practice evidence already supported the complete current objective.,none
AS-1.3-02,verified,verified,9618-SYL-2027-2029-V2,15,Teaching and practice evidence already supported the complete current objective.,none
AS-1.3-03,verified,verified,9618-SYL-2027-2029-V2,15,Teaching and practice evidence already supported the complete current objective.,none
AS-2.1-01,verified,verified,9618-SYL-2027-2029-V2,16-17,Teaching and practice evidence already supported the complete current objective.,none
AS-2.1-02,verified,verified,9618-SYL-2027-2029-V2,16-17,Teaching and practice evidence already supported the complete current objective.,none
AS-2.1-03a,partial,verified,9618-SYL-2027-2029-V2,16-17,"Teaching was relevant, but practice did not isolate every compound sub-requirement.",Added a targeted syllabus drill with answers and updated the coverage evidence link.
AS-2.1-03b,verified,verified,9618-SYL-2027-2029-V2,16-17,Teaching and practice evidence already supported the complete current objective.,none
AS-2.1-04,verified,verified,9618-SYL-2027-2029-V2,16-17,Teaching and practice evidence already supported the complete current objective.,none
AS-2.1-05a,incorrect_scope,verified,9618-SYL-2027-2029-V2,16-17,A Paper 1 review item tested A Level circuit switching instead of the current AS topology requirement.,Replaced it with mesh packet routing and resilience; added targeted drill TD2.
AS-2.1-05b,verified,verified,9618-SYL-2027-2029-V2,16-17,Teaching and practice evidence already supported the complete current objective.,none
