objective_id,initial_status,final_status,official_source,official_pages,audit_finding,repair
"IG-1.1-01","verified","verified","0478-SYL-2026-2028-V6","pages 11-12","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-1.1-02","partial","verified","0478-SYL-2026-2028-V6","pages 11-12","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-1.1-03","partial","verified","0478-SYL-2026-2028-V6","pages 11-12","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-1.1-04","partial","verified","0478-SYL-2026-2028-V6","pages 11-12","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-1.1-05","verified","verified","0478-SYL-2026-2028-V6","pages 11-12","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-1.1-06","partial","verified","0478-SYL-2026-2028-V6","pages 11-12","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-1.1-07","verified","verified","0478-SYL-2026-2028-V6","pages 11-12","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-1.1-08","verified","verified","0478-SYL-2026-2028-V6","pages 11-12","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-1.1-09","partial","verified","0478-SYL-2026-2028-V6","pages 11-12","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-1.1-10","partial","verified","0478-SYL-2026-2028-V6","pages 11-12","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-1.2-01","partial","verified","0478-SYL-2026-2028-V6","pages 12-13","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-1.2-02","partial","verified","0478-SYL-2026-2028-V6","pages 12-13","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-1.2-03","verified","verified","0478-SYL-2026-2028-V6","pages 12-13","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-1.3-01","verified","verified","0478-SYL-2026-2028-V6","pages 13-14","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-1.3-02","verified","verified","0478-SYL-2026-2028-V6","pages 13-14","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-1.3-03","verified","verified","0478-SYL-2026-2028-V6","pages 13-14","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-1.3-04","verified","verified","0478-SYL-2026-2028-V6","pages 13-14","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-2.1-01","verified","verified","0478-SYL-2026-2028-V6","pages 14","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-2.1-02","verified","verified","0478-SYL-2026-2028-V6","pages 14","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-2.1-03","verified","verified","0478-SYL-2026-2028-V6","pages 14","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-2.1-04","partial","verified","0478-SYL-2026-2028-V6","pages 14","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-2.1-05","verified","verified","0478-SYL-2026-2028-V6","pages 14","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-2.1-06","partial","verified","0478-SYL-2026-2028-V6","pages 14","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-2.2-01","partial","verified","0478-SYL-2026-2028-V6","pages 15","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-2.2-02","verified","verified","0478-SYL-2026-2028-V6","pages 15","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
