source_id,syllabus_code,document_type,exam_cycle_or_series,paper,version,official_url,sha256,audited_at,authority_level,scope,limitations
0478-SYL-2026-2028-V6,0478,syllabus,2026-2028,,6,https://www.cambridgeinternational.org/Images/697167-2026-2028-syllabus.pdf,e89c9629185d75b7e182e74460f1b0fd62e30c71f2ae4d67c9563123ca0558d1,2026-09-21,current_authority,Official subject content and assessment requirements for 0478 examinations in 2026-2028.,Check the official syllabus update page for changes published after this audit date.
0478-UPD-2026-2028-V6,0478,syllabus_update,2026-2028,,6,https://www.cambridgeinternational.org/Images/711263-2026-2028-syllabus-update.pdf,dc148683046833f248ecb27934fcecc1121039d3b87f285045cba53fe3340144,2026-09-21,current_authority,Official Version 6 change record; updates information about ROUND on syllabus page 41.,Records changes only; use with the full 0478 syllabus.
9618-SYL-2027-2029-V2,9618,syllabus,2027-2029,,2,https://www.cambridgeinternational.org/Images/721397-2027-2029-syllabus.pdf,c8a4c6d033c07c6d8025689abed5ef481d581c28bae640986d275303ed6c08bc,2026-09-21,current_authority,Official subject content and assessment requirements for AS Sections 1-12 and A Level Sections 13-20.,Check the official syllabus page for changes published after this audit date.
9618-PSG-2027-2029-V1,9618,pseudocode_guide,2027-2029,,1,https://www.cambridgeinternational.org/Images/721401-2027-2029-pseudocode-guide.pdf,04f42cc247cc49e069543aef242dbc6d1d89d4f3539c23148683386cebb2c4b7,2026-09-21,current_authority,Official 9618 pseudocode syntax and examined-component conventions for 2027-2029.,Use with the full 9618 syllabus and any later official guide update.
0478-MS-11-MJ24,0478,mark_scheme,M/J/2024,11,,https://www.cambridgeinternational.org/Images/520648-june-2024-mark-scheme-paper-11.pdf,06cfcd676ff0afdb2f33fc38dba8a952d25beb873bdeb24bb3c0618c3885f1aa,2026-09-21,supporting_public_sample,Public Paper 11 mark scheme used as supporting evidence for scoring language.,Public sample; may not reflect the current syllabus and is not a complete mark-scheme corpus.
0478-MS-21-MJ24,0478,mark_scheme,M/J/2024,21,,https://www.cambridgeinternational.org/Images/520655-june-2024-mark-scheme-paper-21.pdf,788a5bbe05e6e04faae389510ba4eb3f0c0af7792f56534c045bbe4916a3305a,2026-09-21,supporting_public_sample,Public Paper 21 mark scheme used as supporting evidence for scoring language and the scenario assessment.,Public sample; may not reflect the current syllabus and is not a complete mark-scheme corpus.
0478-ER-MJ24,0478,examiner_report,M/J/2024,,,https://www.cambridgeinternational.org/Images/520654-june-2024-examiner-report.pdf,b3dad2454c90f6fb7b8a4ddce8b8ec228e78236ca472d7b9be6985af4d591560,2026-09-21,supporting_public_sample,Public examiner report used as supporting evidence for common responses and examiner guidance.,Historical examiner commentary; not a substitute for the current syllabus or a mark scheme.
0478-SMS-1B-2023,0478,specimen_mark_scheme,2023 specimen,1B,,https://www.cambridgeinternational.org/Images/675878-2023-specimen-paper-1b-mark-scheme.pdf,8a9def088467ded390eb62fce58d677834ad64373e959d8b28d8d55afdac32da,2026-09-21,supporting_public_sample,Public specimen Paper 1B mark scheme used as supporting assessment evidence.,Specimen material; not proof of wording used in later live papers.
0478-SMS-2B-2023,0478,specimen_mark_scheme,2023 specimen,2B,,https://www.cambridgeinternational.org/Images/675879-2023-specimen-paper-2b-mark-scheme.pdf,0c354775418070a4e2b70fc4efaad407940a7ecd2f2a7064826839c9ca7947ed,2026-09-21,supporting_public_sample,Public specimen Paper 2B mark scheme used as supporting assessment evidence.,Specimen material; not proof of wording used in later live papers.
9618-MS-11-MJ24,9618,mark_scheme,M/J/2024,11,,https://www.cambridgeinternational.org/Images/673620-june-2024-mark-scheme-paper-11.pdf,b8191db20e72f86bb19e8cb9f21cb712f27a2849ce21a44dc8abb2b091194de0,2026-09-21,supporting_public_sample,Public Paper 11 mark scheme used as supporting evidence for AS theory scoring language.,Public sample; may not reflect the current syllabus and is not a complete mark-scheme corpus.
9618-MS-21-MJ24,9618,mark_scheme,M/J/2024,21,,https://www.cambridgeinternational.org/Images/673622-june-2024-mark-scheme-paper-21.pdf,372460c1d37896d8902ebe57fe083c65443f7782e214e366a6e554eadb6c9fd1,2026-09-21,supporting_public_sample,Public Paper 21 mark scheme used as supporting evidence for AS programming scoring language.,Public sample; may not reflect the current syllabus and is not a complete mark-scheme corpus.
9618-MS-31-MJ24,9618,mark_scheme,M/J/2024,31,,https://www.cambridgeinternational.org/Images/673624-june-2024-mark-scheme-paper-31.pdf,4304178aca0c290eb8f4adc1d9d447c385c243bb76db338e0bd76a22616b9c4f,2026-09-21,supporting_public_sample,Public Paper 31 mark scheme used as supporting evidence for A Level theory scoring language.,Public sample; may not reflect the current syllabus and is not a complete mark-scheme corpus.
9618-MS-41-MJ24,9618,mark_scheme,M/J/2024,41,,https://www.cambridgeinternational.org/Images/673626-june-2024-mark-scheme-paper-41.pdf,015a2e904b924385e905021229505f180f59ec4d19dc486ceeb274d55c2a1545,2026-09-21,supporting_public_sample,Public Paper 41 mark scheme used as supporting evidence for A Level practical scoring language.,Public sample; may not reflect the current syllabus and is not a complete mark-scheme corpus.
9618-ER-MJ24,9618,examiner_report,M/J/2024,,,https://www.cambridgeinternational.org/Images/673617-june-2024-examiner-report.pdf,1362c4a42ea6271f211ef44bb70a8ae2e020cd7673369fc859786980322fac66,2026-09-21,supporting_public_sample,Public examiner report used as supporting evidence for common AS and A Level responses.,Historical examiner commentary; not a substitute for the current syllabus or a mark scheme.
