objective_id,initial_status,final_status,official_source,official_pages,audit_finding,repair
A2-13.1-01,verified,verified,9618-SYL-2027-2029-V2; 9618-PSG-2027-2029-V1,32; PSG 26-29,Teaching and practice evidence already supported the complete current objective.,none
A2-13.1-02,verified,verified,9618-SYL-2027-2029-V2; 9618-PSG-2027-2029-V1,32; PSG 26,Teaching and practice evidence already supported the complete current objective.,none
A2-13.1-03,missing_teaching,verified,9618-SYL-2027-2029-V2; 9618-PSG-2027-2029-V1,32; PSG 28-29,"Set and record evidence was present, but Chapter 13 did not define and use a class/object type in current pseudocode notation.",Added original class/object teaching plus a marked construction drill and answer evidence.
A2-13.1-04,verified,verified,9618-SYL-2027-2029-V2; 9618-PSG-2027-2029-V1,32; PSG 26-29,Teaching and practice evidence already supported the complete current objective.,none
A2-13.2-01,verified,verified,9618-SYL-2027-2029-V2; 9618-PSG-2027-2029-V1,32; PSG 25,Teaching and practice evidence already supported the complete current objective.,none
A2-13.2-02,verified,verified,9618-SYL-2027-2029-V2; 9618-PSG-2027-2029-V1,32; PSG 25,Teaching and practice evidence already supported the complete current objective.,none
A2-13.2-03,partial,verified,9618-SYL-2027-2029-V2; 9618-PSG-2027-2029-V1,32; PSG 25,Practice used one remainder hash and did not explicitly assess different hashing algorithms.,Added remainder and folding calculations plus the required matching read/write rule.
A2-13.3-01,verified,verified,9618-SYL-2027-2029-V2,33,Teaching and practice evidence already supported the complete current objective.,none
A2-13.3-02,verified,verified,9618-SYL-2027-2029-V2,33,Teaching and practice evidence already supported the complete current objective.,none
A2-13.3-03,verified,verified,9618-SYL-2027-2029-V2,33,Teaching and practice evidence already supported the complete current objective.,none
A2-13.3-04,verified,verified,9618-SYL-2027-2029-V2,33,Teaching and practice evidence already supported the complete current objective.,none
A2-13.3-05,verified,verified,9618-SYL-2027-2029-V2,33,Teaching and practice evidence already supported the complete current objective.,none
A2-14.1-01,verified,verified,9618-SYL-2027-2029-V2,33,Teaching and practice evidence already supported the complete current objective.,none
A2-14.1-02,verified,verified,9618-SYL-2027-2029-V2,33,Teaching and practice evidence already supported the complete current objective.,none
A2-14.1-03,partial,verified,9618-SYL-2027-2029-V2,33,Existing practice named layer functions but did not trace a complete host-to-host transfer down and up all four layers.,Added an eight-point sender-to-receiver TCP/IP transfer drill and answers.
A2-14.1-04,verified,verified,9618-SYL-2027-2029-V2,33,Teaching and practice evidence already supported the complete current objective.,none
A2-14.2-01,verified,verified,9618-SYL-2027-2029-V2,33,Teaching and practice evidence already supported the complete current objective.,none
A2-14.2-02,verified,verified,9618-SYL-2027-2029-V2,33,Teaching and practice evidence already supported the complete current objective.,none
A2-14.2-03,verified,verified,9618-SYL-2027-2029-V2,33,Teaching and practice evidence already supported the complete current objective.,none
A2-14.2-04,verified,verified,9618-SYL-2027-2029-V2,33,Teaching and practice evidence already supported the complete current objective.,none
A2-15.1-01,verified,verified,9618-SYL-2027-2029-V2,34,Teaching and practice evidence already supported the complete current objective.,none
A2-15.1-02,partial,verified,9618-SYL-2027-2029-V2,34,Practice did not isolate why RISC instruction form and register use support pipelining.,Added a targeted RISC pipeline/register explanation with branch and interrupt effects.
A2-15.1-03,verified,verified,9618-SYL-2027-2029-V2,34,Teaching and practice evidence already supported the complete current objective.,none
A2-15.1-04,verified,verified,9618-SYL-2027-2029-V2,34,Teaching and practice evidence already supported the complete current objective.,none
